artist_name,wiki_nationality,wiki_artist_start_date
BARBARA BANDEIRA feat. IVANDRO,Portugal,2011-01-01
THE CHAINSMOKERS feat. COLDPLAY,Unknown,2012-01-01
Ivandro ,Brazil,1930-05-26
MARSHMELLO & MANUEL TURIZO,Colombia,2016-01-01
Syro,Unknown,
Beyoncé ,United States,1997-01-01
Olivia Rodrigo ,United States,2015-01-01
"Meghan Trainor, John Legend",Unknown,
Luke Combs,United States,2014-01-01
JOEL CORRY,United Kingdom,2012-01-01
POST MALONE & MORGAN WALLEN,Unknown,
Bad Bunny ,United States,2013-01-01
ADAM PORT,Unknown,
BARBARA BANDEIRA FEAT. DILLAZ,Unknown,
Amber Mark,Unknown,1993-01-01
CALEMA & ZÃ‰ FILIPE,Unknown,
"rose, bruno mars",Unknown,
RICHIE CAMPBELL x SLOW J x LHAST,Portugal,2013-01-01
BEYONCÃ‰,Sweden,1983-01-01
Andra Day,United States,2012-01-01
pedro sampaio & marina sena,Brazil,2012-01-01
KAROL G.,Colombia,2006-01-01
SYRO FEAT. BISPO,Unknown,
THE WEEKND feat. ARIANA GRANDE,Unknown,
ESTELLE feat. KANYE WEST,Unknown,
Benson Boone ,United States,2021-01-01
bispo,Unknown,
Van Zee ,Unknown,
TIMBALAND feat. ONEREPUBLIC,Unknown,
REMA & SELENA GOMEZ,Unknown,
Luísa Sonza ,Brazil,2017-01-01
GRAND PULSAR,Unknown,
Lady Gaga ,United States,2005-01-01
The Weeknd ,Canada,2009-01-01
JAO,Unknown,
BISPO FEAT. BARBARA TINOCO,Portugal,2012-01-01
DISTURBED,Unknown,
Calema ,Unknown,2011-01-01
Gims ,Democratic Republic of the Congo,2002-01-01
Elton John,United Kingdom,1962-01-01
IVANDRO & VITOR KLEY,Unknown,
the weeknd,Canada,2009-01-01
Demi Lovato,United States,2002-01-01
JAY-Z feat. ALICIA KEYS,Unknown,
Sech ,Unknown,
Richie Campbell ,United Kingdom,2006-01-01
Pedro Sampaio ,Brazil,2012-01-01
RITON x NIGHTCRAWLERS feat. MUFASA & HYPEMAN,Unknown,
"SONNY FODERA, JAZZY & D.O.D.",Australia,1985-11-10
MATUE,Brazil,2015-01-01
ALOK feat. ANITTA,Brazil,2010-01-01
JENNIE,Unknown,
MARIANA PEREIRA,Portugal,1997-10-08
Logic ,Unknown,
JADE feat. CHANNEL TRES,Unknown,
OMAR COURTZ & DE LA ROSE,Unknown,1997-10-11
"Hugel, Arash, Topic, Daecolm",Unknown,
Lunay ,Unknown,
RACHEL PLATEN,United States,2003-01-01
FAITH NO MORE,Unknown,1983-09-01
XTINTO,Unknown,
THE WEEKND FEAT. PLAYBOI CARTI,Unknown,
BIA CABOZ & PIRUKA,Unknown,
Gigi Perez,United States,2000-02-04
MARTIM SEABRA,Unknown,
EURYTHMICS,Unknown,1980-01-01
Rosé,Unknown,
10 cc,Unknown,1972-01-01
LEO SAYER,United Kingdom,1973-01-01
"A Great Big World, Christina Aguilera",Unknown,
MYKE TOWERS feat. BENNY BLANCO,United States,2013-01-01
STEVIE WONDER,United States,1961-01-01
THE KID LAROI & QUAVO,Unknown,
"Blue, Elton John",Unknown,
CATARINA CASTANHAS,Unknown,
Rádio Comercial,Unknown,
Mc Tuto,Unknown,
ZARA G.,Unknown,2014-01-01
Goo Goo Dolls,Unknown,1986-01-01
IVANDRO feat. LUDMILLA,Unknown,
"Empire [cast], Estelle, Jussie Smollett",United States,1991-01-01
CYNDI LAUPER,United States,1977-01-01
Sheryl Crow,United States,1986-01-01
"Labrinth, Emeli Sandé",United Kingdom,2008-01-01
Bush,Unknown,
Bill Nighy,United Kingdom,1975-01-01
"Vanesa Martin, Matias Damásio",Angola,2000-01-01
SARA TAVARES,Portugal,1994-01-01
"Richie Campbell, Slow J",Unknown,
BRANKO feat. JULY 7,Unknown,
Los Benjamins ,Unknown,
TIAGO BANDEIRA,Unknown,
sabrina carpenter,United States,2011-01-01
GINO VANELLI,Italy,1917-01-01
Gracie Abrams ,United States,2019-01-01
Kehlani,United States,2009-01-01
KORGIS,Unknown,1978-01-01
Valete ,Portugal,1997-01-01
MURTA feat. JURA,Unknown,
GEORGE MICHAEL,United Kingdom,1981-01-01
"Billie Eilish, Khalid",Unknown,
"Noah Cyrus, Leon Bridges",Unknown,
CLANNAD [+] BONO,Unknown,1970-01-01
BENEE,New Zealand,2017-01-01
Lil Wayne ,United States,1995-01-01
Vários - Band Aid,United Kingdom,1997-01-01
R. CITY [+] ADAM LEVINE,United States,1994-01-01
Jack Harlow ,United States,2016-01-01
Musiq Soulchild,United States,1995-01-01
H.E.R.,United States,2014-01-01
"Martin Garrix, Dua Lipa",Unknown,
FLO feat. GLORILLA,Unknown,
"deejay telio, irina barros",Unknown,
KC & THE SUNSHINE BAND,Unknown,1973-01-01
BOYZONE,Unknown,1993-01-01
Trevor Daniel ,Unknown,
ANNIE LENNOX,United Kingdom,1976-01-01
"ProfJam, Lhast",Portugal,1991-06-05
Papillon ,Unknown,
JUICE WRLD & NICKI MINAJ,Unknown,
"Mind da Gap, Sam the Kid",Unknown,
"Sérgio Godinho, Clã",Portugal,1971-01-01
dillaz,Portugal,1991-05-05
Ornatos Violeta,Unknown,1991-01-01
Filipe Gonçalves,Portugal,1984-08-12
flowerovlove,United Kingdom,
MILHANAS,Unknown,
Perrie,United Kingdom,
Zach Bryan,United States,2017-01-01
Daniela Soares,Unknown,
GIFT,Unknown,
Sam Fender,United Kingdom,2016-01-01
"Raissa, Rahim Redcar",Unknown,
Ozuna ,United States,2011-01-01
Farruko ,United States,2007-01-01
"PETER CETERA, AMY GRANT",United States,1962-01-01
S1mba ,United Kingdom,2018-01-01
"Nelson Freitas, Richie Campbell",Unknown,1997-01-01
Música de Natal - 2019,Brazil,2002-02-16
BAND AID,Unknown,
AGIR,Unknown,
KESHI,United States,
Camila Cabello ,Cuba,2012-01-01
DAMIANO DAVID,Italy,2016-01-01
USA for Africa,Unknown,
PAULA ABDUL,United States,1978-01-01
"Deejay Telio, Irina Barros",Unknown,
"Paulo Gonzo, Olavo Bilac",Unknown,
Jorge Palma,Portugal,1967-01-01
CENTURY,Unknown,
"Sérgio Mendes, Seu Jorge",Unknown,
YBN Nahmir ,United States,2014-01-01
"Ana Encarnação, Idina Menzel",Unknown,
WHY DONT WE,Unknown,2016-01-01
NOAH CYRUS,United States,2002-01-01
MIA ROSE,Portugal,2006-01-01
MARTIN GARRIX & JEX,Unknown,
"Bid, Seu Jorge, Alok",Brazil,2004-01-01
Robbie Williams,United Kingdom,1990-01-01
Música de Natal - 2018,Portugal,1991-01-01
DAN + SHAY,Unknown,2012-01-01
THE POGUES [+] KIRSTY MACCOLL,United Kingdom,1979-01-01
MICHAEL BUBLÉ,Canada,1996-01-01
Tiago Nacarato,Unknown,
Johnny Cash,United States,1954-01-01
JAMIE FOXX,United States,1989-01-01
Música de Natal - 2021,Brazil,2002-02-16
XXXTentacion ,United States,2013-01-01
Cláudia Pascoal,Portugal,2015-01-01
KYGO & SANDRO CAVAZZA,Sweden,2014-01-01
SHAWN MENDES FT. CAMILA CABELLO,Unknown,
Jack Johnson,Unknown,
"João Só, Tiago Nogueira",Portugal,1998-11-16
MEGHAN TRAINOR,United States,2008-01-01
Meghan Trainor,United States,2008-01-01
"Ed Sheeran, Elton John",Unknown,
kelly clarkson,United States,2002-01-01
"carolina de deus, ricardo liz almeida",Unknown,1948-01-01
LESLIE ODOM JR.,United States,1998-01-01
CHARLIE PUTH,United States,2009-01-01
"Robbie Williams, Jamie Cullum",United Kingdom,1990-01-01
The Chainsmokers,Unknown,2012-01-01
"Mary J. Blige, Sheryl Crow",Unknown,
BACKSTREET BOYS,Unknown,1992-01-01
WHAM,Unknown,1980-01-01
"Usher, Ludacris, Lil Jon",Unknown,
"Carolina de Deus, Ricardo Liz Almeida",Brazil,1948-01-01
Ana Encarnação,Portugal,1788-04-14
"Matias Damásio, D.A.M.A.",Unknown,
SIGRID,Unknown,
HANSON,Unknown,
The Beatles,Unknown,1960-01-01
Kate Hudson,United States,1996-01-01
Música de Natal - 2022,Unknown,
Vários,United States,1914-07-09
KACEY MUSGRAVES feat. LEON BRIDGES,United States,2014-01-01
Música de Natal - 2017,Unknown,
EQUIPA RFM,Unknown,
"mickael carreira, syro",Unknown,
ED SHEERAN & ELTON JONH,Unknown,
Eve ,Unknown,
GWEN STEFANI feat. BLAKE SHELTON,Unknown,
LATTE,Unknown,
KASKADE feat. ERIKA,Israel,2005-01-01
"Música de Natal - 2024, Vasco Palmeirim",Unknown,
"MC MENOR JP, RAMONMIX & THE IRONIX",Unknown,
RODGE feat. MEERAH,Unknown,
MAR,Unknown,
TOM GRENNAN,United Kingdom,2014-01-01
JOJO feat. PJ MORTON,United States,2005-01-01
John Lennon,United Kingdom,1956-01-01
Kelly Rowland,United States,1997-01-01
CELINE DION,Canada,1980-01-01
ROSE,Unknown,
CUCA ROSETA,Portugal,1981-12-02
MICHAEL JACKSON,United States,1964-01-01
"Rosie O'Donnell, Elton John",Unknown,
DESTINYS CHILD,Unknown,1990-01-01
MIA JO,Canada,1989-01-01
DEPRESNO,Norway,1998-08-08
Jonas Brothers,Unknown,2005-01-01
Wham!,Unknown,1980-01-01
BLACK,Unknown,
"The Pogues, Kirsty MacColl",United Kingdom,1979-01-01
Kylie Minogue,Australia,1979-01-01
SARAH MCLACHLAN,Canada,1988-01-01
AVA MAX,United States,2013-01-01
ELLA HENDERSON x AJ MITCHELL,United Kingdom,2012-01-01
MICHAEL BUBLÃ‰,Unknown,
MATT TERRY,United Kingdom,2016-01-01
APRIL IVY,Portugal,2015-01-01
Backstreet Boys,Unknown,1992-01-01
SUMMER WALKER,United States,2018-01-01
BRANDY,Unknown,
"Ingrid Michaelson, Jason Mraz",United States,2002-01-01
"DAVID GUETTA, ALPHAVILLE & AVA MAX",Unknown,
AESPA,Unknown,2020-11-01
TIMI DAKOLO feat. ERIC BENET,Unknown,
CAMILA CABELLO,Cuba,2012-01-01
BOBBY HELMS,United States,1955-01-01
SHEPPARD,Unknown,
PINK SWEAT$ & DONNY HATHAWAY,United States,2018-01-01
Anna Kendrick,United States,1998-01-01
JESS GLYNNE,United Kingdom,2012-01-01
Plutónio ,Portugal,2000-01-01
Maluma ,Colombia,2010-01-01
"Robbie Williams, Bryan Adams",United Kingdom,1990-01-01
RAUW ALEJANDRO feat. BAD BUNNY,Unknown,
WIZKID,Nigeria,2001-01-01
Queen,Unknown,
116 feat. CRYSTAL NICOLE,Unknown,
SEVYN STREETER,United States,2001-01-01
Jon Bon Jovi,United States,1983-01-01
Chappel Roan ,United States,2014-01-01
LIAM PAYNE & DIXIE DAMELIO,United States,2018-01-01
GUI ALY,Unknown,
PALOMA FAITH & GREGORY PORTER,Unknown,
Band Aid 40,Unknown,
musica de natal rc - 2022,Unknown,
Little Mix,Unknown,2011-01-01
Kelly Clarkson feat Arianna Grande,United States,2008-01-01
Stevie Wonder,United States,1961-01-01
lon3r johny x profjam ,Unknown,
"Ed Sheeran, Beyoncé",Unknown,
ED SHEERAN & ELTON JOHN,Unknown,
MACKLEMORE feat. DAN CAPLEN,Unknown,2015-01-01
FRENCH MONTANA,Algeria,2002-01-01
TOMAS ADRIAO,Portugal,2014-01-01
MC Zaac ,Unknown,
AGIR feat. LX STRINGS,Unknown,
JIMMY FALLON feat. ARIANA GRANDE & MEGAN THEE STALLION,United States,2016-01-01
ANNE-MARIE,United Kingdom,2013-01-01
CAROL BIAZIN,Brazil,1997-04-22
AMOR ELECTRO,Unknown,2010-01-01
East 17,Unknown,1991-01-01
The Housemartins,Unknown,1983-01-01
Paul McCartney,United Kingdom,1957-01-01
JUSTIN BIEBER feat. THE BAND PERRY,Canada,2007-01-01
"Macklemore & Ryan Lewis, Wanz",Unknown,2008-01-01
One Voice Children's Choir,Unknown,
LIAM PAYNE,United Kingdom,2008-01-01
"André Sardet, Carolina Deslandes",Unknown,
BRYSON TILLER feat. JUSTIN BIEBER & POO BEAR,Unknown,
CALUM SCOTT & CHRISTINA PERRI,Unknown,
"MARIAH CAREY, KHALID & KIRK FRANKLIN",Unknown,
CARLY SIMON,United States,1964-01-01
INGRID MICHAELSON feat. ZOOEY DESCHANEL,United States,2002-01-01
"Mariah Carey, John Legend",Unknown,
CHRISTIANS,Unknown,
QUEEN,Unknown,
MILOW,Belgium,2004-01-01
MABEL,Unknown,
Idina Menzel,United States,1995-01-01
tiago bandeira,Unknown,
Don Omar ,United States,1996-01-01
Matuê ,Brazil,2015-01-01
SABRINA CLAUDIO & THE WEEKND,United States,2016-01-01
LeAnn Rimes,United States,1991-01-01
"Plutónio, Dillaz",Portugal,2000-01-01
James,Unknown,
"Anjos, Susana",Portugal,1999-01-01
JOHN LEGEND feat. KELLY CLARKSON,Unknown,
Louis Armstrong,United States,1914-01-01
Vários: Homenagem RC a Sérgio Godinho,Unknown,
IVO LUCAS feat. NONINHO NAVARRO,Unknown,
"Macklemore & Ryan Lewis, Mary Lambert",United States,
FELIX JAEHN & SHOUSE,Unknown,
"CeeLo Green, The Muppets",United States,1994-01-01
ivo lucas ft noninho navarro,Unknown,
Paul Simon,United States,1957-01-01
"Martin Garrix, Jex",Unknown,
"Mickael Carreira, Syro",Unknown,
"Kappa Jotta, Bispo",Portugal,2013-01-01
LEFT.,Unknown,
David Kushner,Unknown,
"Kendrick Lamar, SZA",Unknown,
Da Weasel ,Unknown,1993-01-01
"Mónica Teotónio, Tiago Nogueira",Unknown,
Nuno Ribeiro,Portugal,1977-09-09
"Myles Smith, James Bay",United States,
"Khiaro, Átoa",Unknown,
JAMES TW,England,2014-01-01
Luan Pereira ,Brazil,2000-04-21
Brandy,Unknown,
Alanis Morissette,Canada,1991-01-01
KAPPA JOTTA x BISPO,Portugal,2013-01-01
"STROMAE, POMME",France,2015-01-01
"Gwen Stefani, Blake Shelton",Unknown,
"os quatro e meia, miguel araujo",Unknown,
JOEL CORRY feat. MABEL,Sweden,2012-01-01
PRINCE,Unknown,
"Marisa Liz, Paulo de Carvalho, Simone de Oliveira, Alex D' Alva Teixeira, Carlão, Diogo Piçarra, Iolanda, Bárbara Tinoco, Cláudia Pascoal, Sara Correia, Luís Trigacheiro, Neyna",Unknown,
"Calum Scott, Christina Perri",Unknown,
Rosalía ,Spain,2013-01-01
BILLY OCEAN,Trinidad and Tobago,1969-01-01
"Os Quatro e Meia, Miguel Araújo,",Unknown,
Lil Baby ,United States,2016-01-01
SKAAR,Unknown,
"kappa jotta, bispo",Portugal,2013-01-01
JOSS STONE,United Kingdom,2003-01-01
waze x mariana pereira,Unknown,
"MÓNICA TEOTÓNIO, TIAGO NOGUEIRA",Unknown,
LAUREN DAIGLE,United States,2010-01-01
QUAVO & TEDDY SWIMS feat. LUKE BRYAN,Unknown,
"IVO LUCAS, NONINHO NAVARRO",Unknown,
TERENCE TRENT DARBY,United States,1984-01-01
VAN ZEE & FRANKIEONTHEGUITAR,Portugal,2012-01-01
INGRID MICHAELSON feat. LESLIE ODOM JR.,United States,2002-01-01
COCO JONES,United States,2006-01-01
"PETER GABRIEL, KATE BUSH",Unknown,
FRANKIEONTHEGUITAR,Unknown,
SAWEETIE,United States,2016-01-01
POLISHED,Unknown,
BARRY WHITE,United States,1960-01-01
cris mj ,Chile,2019-01-01
Jewel,Unknown,
BING CROSBY with V of BTS,South Korea,2013-01-01
"João Só, Carolina de Deus",Brazil,2000-01-01
GENESIS,Unknown,
"ANJOS, BUBA ESPINHO",Unknown,
"MICHAEL BUBLÉ, CARLY PEARCE",Unknown,
"Mafalda Veiga, Jorge Palma",Portugal,1967-01-01
"Nuno Ribeiro, Rogg",Unknown,
21 Savage ,United States,2013-01-01
doismileoito,Unknown,
Anuel AA ,United States,2010-01-01
BECKY HILL x MK,United Kingdom,2012-01-01
Márcia,United States,1996-11-15
CARLA PRATA,Unknown,1999-09-05
NLE Choppa ,United States,2018-01-01
"Van Zee, FRANKIEONTHEGUITAR",Portugal,2012-01-01
Joey Montana ,Panama,1999-01-01
ALOK feat. CLEMENTINE DOUGLAS,Brazil,2004-01-01
KENDRICK LAMAR & SZA,Unknown,
DJ TUTO & DJ GLENNER,Unknown,
SCOUTING FOR GIRLS,Unknown,2005-01-01
ALEX WARREN with JOE JONAS,Unknown,
BRYAN FERRY,United Kingdom,1971-01-01
"ALEX WARREN, JOE JONAS",Unknown,
"Jão, Anitta",Brazil,2010-01-01
STING,Unknown,
"ED SHEERAN, KHALID",Unknown,
PATRICK SWAYZE,United States,1979-01-01
PRETENDERS,Unknown,1978-01-01
DJ TOPO ,Unknown,
ANJOS FT. SORAIA RAMOS,Unknown,
TINI,Argentina,2012-01-01
Tommy Richman ,United States,2000-03-21
Ricky Martin ,United States,1984-01-01
TYGA,United States,2004-01-01
Feid ,Colombia,2010-01-01
OLLY ALEXANDER,United Kingdom,2008-01-01
"Miguel Araújo, Inês Viterbo",Unknown,
Slow J ,Portugal,2013-01-01
Blackout,Unknown,
Sara Tavares,Portugal,1994-01-01
NEIL DIAMOND,United States,1962-01-01
Mora ,Unknown,
Taylor Swift ,United States,2003-01-01
LOLA YOUNG,United Kingdom,2001-01-04
ROD STEWART,United Kingdom,1961-01-01
Sarah McLachlan,Canada,1988-01-01
GLORILLA feat. KEHLANI,Unknown,
ROSÉ,New Zealand,
CKAY feat. DJ YO! & AXEL,Unknown,
Nat King Cole,United States,1934-01-01
CHICAGO,Unknown,
George Michael,United Kingdom,1981-01-01
GEORGE MICHAEL [+] QUEEN,Unknown,
NATALIE COLE,United States,1956-01-01
Celine Dion,Canada,1980-01-01
BRENDA LEE,United States,1951-01-01
Whitney Houston,United States,1976-01-01
CHRIS REA,United Kingdom,1978-01-01
Joss Stone,United Kingdom,2003-01-01
"Destiny's Child, Beyoncé",Unknown,1990-01-01
Wiu ,Unknown,
MICHAEL BUBLE [+] SHANIA TWAIN,Canada,1983-01-01
City High,Unknown,1999-01-01
"Anavitória, Vitor Kley",Brazil,2009-01-01
JEWEL,Unknown,
Pentatonix,Unknown,2011-01-01
CeCe Winans,United States,1984-01-01
Jessica Simpson,United States,1999-01-01
BON JOVI,Unknown,1983-01-01
EARTHA KITT,United States,1943-01-01
JOHN LEGEND FT. STEVIE WONDER,Unknown,
PERRIE,United Kingdom,
Sam the Kid ,Portugal,1994-01-01
Cuca Roseta,Portugal,1981-12-02
Tori Kelly,United States,2003-01-01
Glee Cast,Unknown,
Charice,Philippines,2005-01-01
R Kelly,United States,1989-01-01
TONY BENNETT,United States,1945-01-01
HALL & OATES,Unknown,1970-01-01
"Brett Eldredge, Meghan Trainor",United States,2008-01-01
Coro De Santo Amaro De Oeiras,Portugal,1974-12-09
DAVE MATHEWS [+] TIM REYNOLDS,United States,1984-01-01
DEAN MARTIN,United States,1940-01-01
Billy Lawson,Australia,1867-06-17
Bob Dylan,United States,1962-01-01
Dillaz ,Portugal,1991-05-05
SUPREMES,Unknown,1959-01-01
Fifth Harmony,Unknown,2012-01-01
MERRY CAROL SINGERS,Unknown,
Música de Natal - 2016,Brazil,2016-01-01
Debbie Gibson,United States,1986-01-01
Billy Pilgrim,Unknown,
MIGUEL ANGELO,Unknown,
PAUL YOUNG,United Kingdom,1978-01-01
"JOSE FELICIANO , RANDY EDELMAN",Unknown,
Música de Natal - 2020,Unknown,
TOM PETTY,United States,1970-01-01
RUI VELOSO,Portugal,1980-01-01
DIANA KRALL,Canada,1993-01-01
PETER CETERA,United States,1962-01-01
Brett Eldredge,United States,2010-01-01
Juice WRLD ,United States,2015-01-01
DAVID FONSECA,Portugal,1998-01-01
Dr. Dre ,United States,1984-01-01
"ozuna, feid ",Colombia,2010-01-01
João Só,Brazil,2006-08-21
KSI,United Kingdom,2010-01-01
Fábia Rebordão,Unknown,
SLADE,Unknown,1966-01-01
"bad bunny, chencho corleone ",United States,1999-01-01
Roddy Ricch ,United States,2017-01-01
JONAS BLUE [+] JP COOPER,Unknown,
SNOOP DOGG & DR. DRE,Unknown,
Ariana Grande ,United States,2008-01-01
el alfa ,Dominican Republic,2008-01-01
Internet Money ,Unknown,
BARRY CAN'T SWIM,Unknown,
JORJA SMITH,United Kingdom,2016-01-01
DOM DOLLA,Unknown,1992-01-01
LF SYSTEM,Unknown,2022-01-01
"PURPLE DISCO MACHINE FEAT. BENJAMIN INGROSSO, NILE RODGERS & SHENSEEA",Germany,2012-01-01
"VINTAGE CULTURE, MAVERICK SABRE & TOM BREU",United Kingdom,1999-01-01
DAVID GUETTA & KIM PETRAS,Unknown,
ASAKE x TRAVIS SCOTT,Unknown,
Mizzy Miles ,Portugal,
TWENTY SIX & TAYSON KRYSS,Unknown,
KAMALA,Unknown,
MADONNA vs. SICKICK,Unknown,
CAMILA CABELLO FT. ED SHEERAN,Unknown,
ROMY,France,1953-01-01
FISHER x JENNIFER LOPEZ,Australia,2017-01-01
FISHER feat. MERYLL,Unknown,
karol g & peso pluma ,Mexico,2020-01-01
BENNETT feat. MENTISSA,Unknown,
"Maroon 5, Christina Aguilera",United States,2007-01-01
NIMINO,Unknown,
JAXOMY x AGATINO ROMERO x RAFAELLA CARRA,Unknown,
Bluay ,Unknown,
NELSON CUNHA,Portugal,2015-01-01
DISCLOSURE,Unknown,
FRED AGAIN.. feat. ANDERSON .PAAK and CHIKA,Unknown,
WUKI,Unknown,2012-01-01
"KAROL G, SHAKIRA",Unknown,
"ROSALIA, RAUW ALEJANDRO",United States,2014-01-01
"CALVIN HARRIS, SAM SMITH",Unknown,
TOM SANTA,Unknown,
ALOK x ELLA EYRE x KENNY DOPE feat. NEVER DULL,Brazil,2004-01-01
"Natiruts, Mónica Ferraz",Unknown,
CHRIS LAKE & ALUNA,Unknown,2012-01-01
THE BLESSED MADONNA & KYLIE MINOGUE,Unknown,
HYPATON x DAVID GUETTA feat. LA BOUCHE,Unknown,
Arcade Fire,Unknown,2001-01-01
ZERB & THE CHAINSMOKERS feat. INK,Unknown,2012-01-01
RUFUS DU SOL,Unknown,
KELIS,United States,1998-01-01
ODEN x FATZO x POPPY BASKCOMB,Unknown,
BURUNTUMA Y KAMALA,Unknown,
Nelly,United States,2000-01-01
"Diogo Piçarra, Bispo",Unknown,
Jhay Cortez ,Puerto Rico,2011-01-01
ALAN WALKER x MEEK,Unknown,
"BAD BUNNY, ROSÁLIA",Unknown,
ANSELMO RALPH,Angola,2005-01-01
BOSTON,Unknown,
"Sebastian Yatra, John Legend",Unknown,
GUNNA,United States,2010-01-01
JUNG KOOK,South Korea,2013-01-01
FOREIGNER,Unknown,
Chris Jeday ,Puerto Rico,2010-01-01
SINÉAD OCONNOR,Ireland,1986-01-01
Macklemore & Ryan Lewis ,Unknown,2008-01-01
MORANDI X ENELI,Unknown,
drake & 21savage ,United States,2013-01-01
João Marques,Unknown,2002-02-13
SAM FENDER,United Kingdom,2016-01-01
Cali y El Dandee ,Unknown,2009-01-01
maluma,Colombia,2010-01-01
Mustard ,Unknown,
Jason Derulo ,United States,2006-01-01
Nacho ,Unknown,
Madonna,United States,1979-01-01
Don Toliver ,United States,2015-01-01
HOKE vs QUEVEDO,Unknown,
BURNA BOY,Nigeria,2010-01-01
"Marshmello, Jonas Brothers",Unknown,
Bispo ,Unknown,
DREAMERS,Unknown,
CKay ,Nigeria,2016-01-01
calema,Unknown,2011-01-01
Shakira ,Spain,1990-01-01
"kendrick lamar, sza",Unknown,
lola young,United Kingdom,2001-01-04
The Ting Tings,Unknown,2004-01-01
LITTLE SIMZ,United Kingdom,2010-01-01
CNCO ,Unknown,2015-01-01
LIL BABY,United States,2016-01-01
Carlão,Unknown,
Agir,Unknown,
"ZERB, TY DOLLA $IGN & WIZ KHALIFA",Unknown,
"Boss AC, Berg",Unknown,
Expensive Soul,Unknown,1999-01-01
ELTON JOHN [+] BONNIE RAITT,United States,1947-01-01
WILL TO POWER,Unknown,
Michael Gray,Unknown,
CHEAT CODES,Unknown,
Lola Young,United Kingdom,2001-01-04
STING [+] ERIC CLAPTON,Unknown,
Mickael Carreira,Portugal,2006-01-01
Duffy,Unknown,
"Riton, Nightcrawlers, Mufasa, Hypeman",Unknown,
ANJOS & CALEMA,Unknown,
DJ Khaled ,United States,1998-01-01
Kendrick Lamar,United States,2004-01-01
Adam Port ,Unknown,
Puff Daddy ,United States,1990-01-01
THE MARIAS,United States,2016-01-01
HEART,Unknown,
"NENA, LUIS TRIGACHEIRO",Unknown,
the lumineers,Unknown,2005-01-01
Ivo Lucas,Unknown,
DOECHII,United States,2016-01-01
Kendrick Lamar ,United States,2004-01-01
"Nena [pt], Luís Trigacheiro",Unknown,
Rauw Alejandro ,United States,2014-01-01
Kappa Jotta ,Portugal,2013-01-01
Gigi Perez ,United States,2000-02-04
FLO RIDA feat. HEESEUNG & JAKE of ENHYPEN x PAUL RUSSELL,Unknown,
"Alex Warren, Joe Jonas",Unknown,
LON3R JOHNY & PROFJAM,Portugal,2017-01-01
D.A.M.A.,Unknown,2008-01-01
CRISS CALISTO,Unknown,
Luis Fonsi ,Puerto Rico,1978-04-15
"JOÃO SÓ, CAROLINA DE DEUS",Brazil,2000-01-01
Calvin Harris ,United Kingdom,2002-01-01
DANIELA SOARES,Unknown,
Travis Scott ,United States,2008-01-01
Lola Young ,United Kingdom,2001-01-04
ÁTOA,Unknown,
Ed Sheeran ,United Kingdom,2004-01-01
NESSA BARRETT,United States,2019-01-01
The Black Mamba,Unknown,
Quavo ,United States,2008-01-01
Boss AC,Portugal,1994-01-01
Margarida,Unknown,2002-10-26
"Dengaz, Agir",Unknown,
Sérgio Godinho,Portugal,1971-01-01
Griff,Unknown,
Jade,Unknown,
richie campbell,United Kingdom,2006-01-01
"No Maka, Joana Oliveira",Unknown,
melim,Unknown,2015-01-01
"Julia Michaels, Maren Morris",Unknown,
cian ducrot ft ella henderson,Unknown,
"Teddy Swims, Givéon",Unknown,
maroon 5,Unknown,1994-01-01
Dean Lewis,Australia,2016-01-01
"os quatro e meia, miguel araújo",Unknown,
"Miley Cyrus, Andrew Wyatt",Unknown,
4 Non Blondes,Unknown,1989-01-01
JIM DIAMOND,United Kingdom,1969-01-01
"ORUAM feat. ZE FILIPE, MC TUTO & RODRIGO DO CN",Unknown,
carlao,Unknown,
MIZZY MILES FEAT. GSON & SLOW J,Unknown,
PEDRO SAMPAIO & MARINA SENA,Brazil,2012-01-01
MARSHMELLO & JONAS BROTHERS,Unknown,
rita redshoes,Portugal,1996-01-01
margarida,Unknown,
PEABO BRYSON [+] ROBERTA FLACK,Unknown,
jingle em casa slow 61,United States,1980-01-01
s. pedro,Brazil,1986-09-07
carolina deslandes,Portugal,1991-08-27
MIGUEL GAMEIRO,Unknown,1992-01-01
sza,United States,2012-01-01
"Os Quatro e Meia, Miguel Araújo",Unknown,
Tyga ,United States,2004-01-01
Lhast ,Unknown,
Emma Bunton,United Kingdom,1994-01-01
The Marías,United States,2016-01-01
Lauren Jauregui ,United States,2012-01-01
TIAGO PZK,Argentina,2016-01-01
NLE CHOPPA x IMAGINE DRAGONS,Unknown,
"The Kid Laroi, Justin Bieber",Unknown,
"T-PAIN, YAEJI & GIRL TALK",Unknown,
Capital Cities,Unknown,
Murta,Unknown,
Papillon,Unknown,
Rony Fuego ,Unknown,1997-01-01
Jaymes Young ,United States,2013-01-01
Kesha,United States,2005-01-01
Chappell Roan,United States,2014-01-01
Spice Girls,Unknown,1994-01-01
CENTRAL CEE feat. 21 SAVAGE,Unknown,
ARIANA GRANDE [+] THE WEEKND,Unknown,
"CAROLINA DE DEUS, RICARDO LIZ ALMEIDA",Unknown,
MEGAN TRAINOR,United States,2008-01-01
24KGOLDN feat. IANN DIOR,United States,2017-01-01
MIGUEL ARAUJO,Peru,2011-01-01
MACKLEMORE RYAN LEWIS,Unknown,2008-01-01
ONE DIRECTION,Unknown,2010-07-23
