track_title,artist_name,spotify_album,spotify_release_date,spotify_duration_ms,spotify_popularity,spotify_genres
Castle on the Hill,Ed Sheeran,÷ (Deluxe),2017-03-03,261153,78,pop
Roxanne,Arizona Zervas,ROXANNE,2019-10-10,163636,72,indie pop rap
Fall for You,Leela James,Fall For You,2014-07-08,201813,47,neo soul
MON AMOUR (REMIX),ZZOILO & AITANA,Mon Amour (Remix),2021-08-18,179940,74,latin pop
Music Sessions Vol 52,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",2022-07-06,198937,80,argentine hip hop
WATERMELON SUGAR,HARRY STYLES,Fine Line,2019-12-13,174000,82,pop
Amigos Coloridos,Bandidos do Cante,Amigos Coloridos,2024-07-12,224478,45,""
EASY ON ME,ADELE,30,2021-11-19,224694,83,british soul
Love Generation,Bob Sinclar,Love Generation (Edit),2005-06-20,204105,69,disco house
Envolver,Anitta,Versions of Me,2022-04-12,193805,68,funk pop
END OF BEGINNING,DJO,DECIDE,2022-09-16,159245,89,pov: indie
Só Fé,Grelo,É o Grelo,2024-07-19,203337,79,""
ROCKABYE,CLEAN BANDIT feat. SEAN PAUL & ANNE-MARIE,What Is Love? (Deluxe Edition),2018-11-30,251173,74,pop
Cuff It,Beyoncé,RENAISSANCE,2022-07-29,225388,74,pop
CRISTALIZA,BÁRBARA BANDEIRA,Finda,2023-10-06,180468,40,portuguese pop
CRISTALIZA,BARBARA BANDEIRA,Finda,2023-10-06,180468,40,portuguese pop
Happier,Marshmello,Happier,2018-08-17,214289,82,brostep
ROLLING IN THE DEEP,ADELE,21,2011-01-24,228093,77,british soul
Wildflower,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,261466,91,art pop
HOUDINI,EMINEM,Houdini,2024-05-31,227239,82,detroit hip hop
Tequila,Nenny,Tequila - A COLORS SHOW,2021-01-25,199376,36,hip hop tuga
YONAGUNI,BAD BUNNY,Yonaguni,2021-06-04,206710,75,reggaeton
Espresso,Sabrina Carpenter,Espresso,2024-04-12,175459,92,pop
Sometimes,Julinho Ksd,Sometimes,2024-09-13,240000,48,hip hop tuga
Rainha Da Finesse,Wiu,Vagabundo de Luxo,2024-07-10,166153,73,trap brasileiro
FLOATING,RICHIE CAMPBELL,Floating,2022-06-24,186529,34,hip hop tuga
Save the World,Swedish House Mafia,Save The World,2011-05-13,213337,64,edm
My Universe,"Coldplay, BTS",Music Of The Spheres,2021-10-15,226198,74,permanent wave
