track_title,artist_name,spotify_album,spotify_release_date,spotify_duration_ms,spotify_popularity,spotify_genres,spotify_danceability,spotify_energy,spotify_valence,spotify_acousticness,spotify_instrumentalness,spotify_liveness,spotify_speechiness,spotify_tempo,spotify_mode,spotify_loudness,spotify_time_signature
HOLD ME WHILE YOU WAIT,LEWIS CAPALDI,Divinely Uninspired To A Hellish Extent,2019-05-17,205686,75,pop,0.688,0.53,0.162,0.443,0.0,0.0995,0.0333,106.958,1,-5.507,4
Make You Feel My Love,Adele,19,2008-01-28,212040,70,british soul,0.317,0.172,0.0963,0.907,0.000383,0.105,0.0326,65.18,1,-10.636,3
PARAISO,DIOGO PIÇARRA,Abrigo - EP,2018-05-28,236000,42,portuguese pop,0.624,0.391,0.416,0.781,0.0,0.0714,0.0327,120.148,1,-8.068,4
Re-Tratamento,Da Weasel,Re-Definições,2004-06-11,245693,50,hip hop tuga,0.841,0.475,0.451,0.0743,0.000506,0.115,0.0685,174.963,1,-7.512,4
Dancing on My Own,Calum Scott,Only Human (Deluxe),2018-03-09,260285,77,pop,0.681,0.174,0.231,0.837,0.0000335,0.0983,0.0315,112.672,1,-8.745,4
Hips Don't Lie,"Shakira, Wyclef Jean","Oral Fixation, Vol. 2 (Expanded Edition)",2005-11-28,218093,84,colombian pop,0.778,0.824,0.758,0.284,0.0,0.405,0.0707,100.024,0,-5.892,4
Hapiness,U2,Anhedonia,2023-05-05,124500,0,"",0.172,0.354,0.0387,0.235,0.953,0.31,0.0364,137.725,1,-11.894,4
CARRIE,EUROPE,The Final Countdown (Expanded Edition),1986-01-01,272133,67,album rock,0.455,0.487,0.139,0.114,2.43e-6,0.358,0.0264,136.482,1,-7.112,4
Deixa-te Levar,Carolina de Deus,Dores de Crescimento,2023-05-12,155586,27,"",0.764,0.382,0.445,0.797,0.0,0.189,0.0428,116.106,1,-8.229,4
Underneath Your Clothes,Shakira,Laundry Service,2001-11-13,224066,59,colombian pop,0.616,0.597,0.362,0.691,0.0,0.104,0.0415,165.508,1,-5.328,4
Moscow Mule,Bad Bunny,Un Verano Sin Ti,2022-05-06,245939,79,reggaeton,0.804,0.674,0.292,0.294,1.18e-6,0.115,0.0333,99.968,0,-5.453,4
What If?,Coldplay,X&Y,2005-06-07,298519,53,permanent wave,0.304,0.502,0.204,0.313,0.0011,0.138,0.035,136.779,0,-6.707,4
TOUGH,QUAVO & LANA DEL REY,Tough,2024-07-03,188828,80,atl hip hop,0.582,0.557,0.211,0.452,0.0000187,0.121,0.101,84.989,0,-7.981,4
THE BUSINESS,TIESTO,The Business,2020-09-16,164000,72,big room,0.798,0.62,0.235,0.414,0.0192,0.112,0.232,120.031,0,-7.079,4
Someone Like You,Adele,21,2011-01-24,285240,77,british soul,0.556,0.319,0.294,0.893,0.0,0.0996,0.0281,135.187,1,-8.251,4
MOTH TO A FLAME,SWEDISH HOUSE MAFIA with THE WEEKND,Paradise Again,2022-04-15,234000,78,edm,0.553,0.659,0.105,0.0027,0.0,0.105,0.0391,120.146,1,-7.295,4
Trouble,Coldplay,Parachutes,2000-07-10,273426,72,permanent wave,0.565,0.546,0.195,0.189,0.0015,0.17,0.0314,139.757,0,-7.496,4
Qué Pena,Maluma,Qué Pena,2019-09-27,212711,55,latin pop,0.635,0.661,0.858,0.102,0.0,0.336,0.364,126.15,0,-6.425,5
