track_title,artist_name,spotify_album,spotify_release_date,spotify_duration_ms,spotify_popularity,spotify_genres,spotify_danceability,spotify_energy,spotify_valence,spotify_acousticness,spotify_instrumentalness,spotify_liveness,spotify_speechiness,spotify_tempo,spotify_mode,spotify_loudness,spotify_time_signature
HUNG UP,MADONNA,Confessions on a Dance Floor,2005-11-11,337733,73,dance pop,0.649,0.647,0.405,0.0039,0.161,0.0686,0.0452,125.02,0,-7.695,4
Sweet about Me,Gabriella Cilmi,Lessons To Be Learned,2008-01-01,202026,38,australian pop,0.667,0.714,0.553,0.0673,1.01e-6,0.0957,0.0288,132.035,1,-5.155,4
FIRESTONE,"KYGO, CONRAD",Cloud Nine,2016-05-13,271640,74,edm,0.704,0.634,0.411,0.393,0.0000317,0.0952,0.0428,113.927,0,-7.374,4
Lovesong,Adele,21,2011-01-24,316240,54,british soul,0.689,0.369,0.361,0.693,0.00236,0.111,0.0278,116.885,0,-9.407,4
MADE FOR ME,MUNI LONG,Made For Me,2023-09-15,188000,70,indie r&b,0.796,0.468,0.0677,0.122,0.0,0.118,0.0324,119.98,0,-6.375,4
FANTASMA,ANA LAURA LOPES,Era uma vez,2024-08-09,145996,65,viral pop brasileiro,0.599,0.63,0.4,0.0643,0.0,0.0986,0.0562,168.121,1,-5.674,4
Sorte A Nossa,Catarina Filipe,Sorte A Nossa,2024-09-07,146666,40,"",0.794,0.409,0.518,0.769,0.0,0.169,0.0551,108.031,1,-9.443,4
Chamada Não Atendida,Bárbara Tinoco,Bichinho,2023-04-21,207173,48,portuguese pop,0.578,0.34,0.152,0.851,0.0000131,0.137,0.0758,86.506,0,-9.09,4
SOMEWHERE OVER THE RAINBOW,ISRAEL KAMAKAWIWOOLE,Facing Future,1993-11-01,308026,68,hawaiian,0.663,0.168,0.678,0.928,0.0000568,0.361,0.0448,85.005,1,-13.725,4
Nunca Mais Vou Lá Estar,"Miguel Carmona, Rita Rocha",Fora de Horas,2024-04-19,230067,23,"",0.54,0.387,0.376,0.868,0.000455,0.0662,0.0434,126.613,1,-11.546,4
OLHA PARA NÓS,"ANJOS, NUNO RIBEIRO",Olha Para Nós (feat. Nuno Ribeiro),2024-10-18,206836,36,portuguese pop,0.545,0.56,0.474,0.449,0.0,0.0907,0.0619,171.689,1,-7.671,4
DAKITI,BAD BUNNY & JHAY CORTEZ,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,205090,75,reggaeton,0.731,0.573,0.145,0.401,0.0000522,0.113,0.0544,109.928,0,-10.059,4
Heroes & Saints,Nikolaj Grandjean,Buddha Bar - Best Of,2013-11-25,235666,34,"",0.67,0.279,0.39,0.318,0.0000411,0.306,0.162,139.858,1,-11.965,4
If I Ain't Got You,Alicia Keys,The Diary Of Alicia Keys,2003-12-02,228706,81,neo soul,0.609,0.444,0.166,0.603,6.86e-6,0.104,0.106,118.402,1,-9.129,3
HOT TO GO!,CHAPPELL ROAN,The Rise and Fall of a Midwest Princess,2023-09-22,184841,89,indie pop,0.742,0.757,0.957,0.0187,0.0,0.305,0.0421,139.982,1,-4.981,4
COMO ANTES,MATIAS DAMÁSIO,Como Antes,2022-03-25,224354,54,kizomba,0.574,0.776,0.516,0.392,0.000191,0.211,0.0491,171.932,0,-5.288,4
Even,Richie Campbell,IT WILL HURT BOTH WAYS,2024-06-14,187869,59,hip hop tuga,0.702,0.491,0.507,0.81,0.0,0.136,0.304,99.931,0,-8.767,4
Kill Bill (Acoustic),SZA,Kill Bill (Acoustic),2023-01-24,168608,43,pop,0.347,0.378,0.61,0.857,0.0,0.118,0.0354,173.482,1,-9.96,4
What I've Done,Linkin Park,Minutes to Midnight,2007-05-14,205226,80,alternative metal,0.627,0.935,0.287,0.0092,0.0,0.147,0.0324,120.092,1,-4.882,4
REDRUM,21 SAVAGE,american dream,2024-01-12,270697,81,atl hip hop,0.625,0.733,0.244,0.00598,0.000983,0.375,0.0488,172.09,1,-8.757,4
Heather,Conan Gray,Kid Krow,2020-03-20,198040,83,bedroom pop,0.357,0.425,0.27,0.584,0.0,0.322,0.0333,102.078,1,-7.301,3
HEARTBEAT,JAMES ARTHUR,Heartbeat,2022-12-02,231723,55,pop,0.438,0.435,0.433,0.499,0.0,0.118,0.0442,137.247,1,-9.967,4
Burguesinha (ao vivo),Seu Jorge,"Musicas para Churrasco, Vol.1 (Ao Vivo) (Delux Edition)",2012-01-01,300506,41,mpb,0.355,0.968,0.635,0.305,0.0128,0.922,0.055,107.025,1,-4.942,4
Boo'd Up,Ella Mai,READY,2017-02-22,256063,66,r&b,0.561,0.779,0.235,0.0862,0.0,0.078,0.0531,81.965,0,-5.107,4
Ao Teu Ouvido,"Buba Espinho, Bárbara Tinoco",Ao Teu Ouvido (feat. Bárbara Tinoco),2023-09-01,216706,41,tuna,0.838,0.253,0.359,0.758,0.0000458,0.111,0.0559,119.957,1,-13.578,4
PAINT THE TOWN RED,DOJA CAT,Paint The Town Red,2023-08-04,231750,78,dance pop,0.868,0.538,0.732,0.269,3.34e-6,0.0901,0.174,99.968,1,-8.603,4
HOT N COLD,KATY PERRY,One Of The Boys,2008-06-17,220226,70,pop,0.706,0.842,0.861,0.0000773,0.0,0.0688,0.0417,132.032,1,-3.956,4
Fallin',Alicia Keys,Songs In A Minor,2001-06-05,210200,76,neo soul,0.652,0.609,0.482,0.263,0.00101,0.233,0.037,95.986,0,-7.519,3
Popular,The Weeknd,Popular (Music from the HBO Original Series),2023-06-02,215466,82,canadian contemporary r&b,0.854,0.674,0.848,0.0517,0.0000853,0.509,0.184,99.022,1,-6.23,4
A Thousand Years,Christina Perri,a thousand years,2011-10-18,285120,80,pop,0.421,0.407,0.161,0.309,0.000961,0.11,0.0267,139.028,1,-7.445,3
BABY IM BACK,THE KID LAROI,THE FIRST TIME (DELUXE VERSION),2024-08-09,171243,82,australian hip hop,0.417,0.743,0.128,0.0154,0.0,0.191,0.0481,161.877,0,-5.094,3
4 Minutes,"Madonna, Timbaland, Justin Timberlake",Celebration (double disc version),2009-09-18,189693,72,dance pop,0.753,0.931,0.767,0.00994,0.00696,0.234,0.0653,113.026,1,-4.922,4
LOVE FORA DE STOCK,PIKIKA,love fora de stock,2024-03-15,180762,27,"",0.728,0.556,0.359,0.651,0.0000858,0.102,0.148,145.165,0,-7.309,4
Diet Pepsi,Addison Rae,Diet Pepsi,2024-08-09,169697,88,social media pop,0.669,0.561,0.841,0.495,0.00962,0.0954,0.0411,150.069,1,-6.538,4
Apneia,Tatiana Duarte,Apneia,2024-05-31,201569,29,"",0.456,0.658,0.336,0.529,0.0,0.105,0.518,88.009,0,-6.767,4
Castle on the Hill,Ed Sheeran,÷ (Deluxe),2017-03-03,261153,77,pop,0.461,0.834,0.471,0.0232,0.0000114,0.14,0.0989,135.007,1,-4.868,4
Good 4 U,Olivia Rodrigo,SOUR,2021-05-21,178146,81,pop,0.563,0.664,0.688,0.335,0.0,0.0849,0.154,166.928,1,-5.044,4
STUMBLIN IN,CYRIL,Stumblin' In,2023-11-10,213363,84,"",0.875,0.518,0.37,0.0638,0.00995,0.125,0.0551,126.089,1,-8.388,4
Todo de Ti,Rauw Alejandro,VICE VERSA,2021-12-10,199604,78,puerto rican pop,0.78,0.719,0.336,0.302,0.000196,0.0931,0.0506,127.962,0,-3.613,4
EASY ON ME,ADELE,30,2021-11-19,224694,82,british soul,0.604,0.366,0.13,0.578,0.0,0.133,0.0282,141.981,1,-7.519,4
Dentro da Hilux,Luan Pereira,DENTRO DA HILUX,2023-08-24,163013,66,agronejo,0.728,0.527,0.333,0.0906,0.0,0.0861,0.091,129.978,0,-6.347,4
Permission to Dance,BTS,Permission to Dance,2021-07-23,187585,71,k-pop,0.702,0.741,0.646,0.00544,0.0,0.337,0.0427,124.925,1,-5.33,4
Sometimes,Julinho Ksd,Sometimes,2024-09-13,240000,47,hip hop tuga,0.61,0.805,0.653,0.684,0.0,0.334,0.104,107.662,0,-4.937,4
If I Lose Myself,OneRepublic,Native,2014-01-01,214813,58,piano rock,0.522,0.782,0.169,0.216,0.0000108,0.133,0.0412,125.994,1,-4.846,4
ELA NÃO SABE POIS NÃO,BÁRBARA TINOCO,Bichinho (para onde vai o amor?),2024-05-31,185386,53,portuguese pop,0.408,0.563,0.321,0.831,0.000048,0.092,0.0909,80.627,0,-7.551,4
ALL OF ME,JOHN LEGEND,Love In The Future (Expanded Edition),2013-08-30,269560,83,neo soul,0.422,0.264,0.331,0.922,0.0,0.132,0.0322,119.93,1,-7.064,4
TASTE,SABRINA CARPENTER,Short n' Sweet,2024-08-23,157279,94,pop,0.674,0.907,0.721,0.101,0.0,0.297,0.064,112.964,1,-4.086,4
Desliza,Ana Moura,Desliza,2024-09-19,160600,47,fado,0.6,0.54,0.382,0.556,0.000768,0.169,0.276,98.356,1,-8.31,4
Million Reasons,Lady Gaga,Joanne (Deluxe),2016-10-21,205280,73,art pop,0.666,0.423,0.154,0.494,0.0,0.106,0.0429,129.893,1,-8.012,4
Kill Bill,SZA,SOS,2022-12-08,153946,86,pop,0.644,0.735,0.418,0.0521,0.144,0.161,0.0391,88.98,1,-5.747,4
Save Your Tears [remix],The Weeknd,After Hours (Deluxe),2020-03-20,191013,78,canadian contemporary r&b,0.65,0.825,0.593,0.0215,0.0000244,0.0936,0.0325,118.091,1,-4.645,4
You're Gonna Live Forever in Me,John Mayer,The Search for Everything,2017-04-14,190013,68,neo mellow,0.542,0.131,0.319,0.983,0.00544,0.156,0.0316,136.161,1,-14.104,4
Juramento Eterno de Sal,Álvaro de Luna,Levantaremos al sol,2022-03-11,205546,53,spanish pop,0.631,0.594,0.716,0.0225,1.91e-6,0.351,0.0581,129.991,1,-5.727,4
Put a little Love on Me,Niall Horan,Heartbreak Weather,2020-03-13,224585,65,pop,0.588,0.471,0.262,0.671,0.0,0.105,0.0262,95.973,1,-4.908,4
Before I Lose My Voice,Richie Campbell,Before I Lose My Voice,2024-09-27,186483,54,hip hop tuga,0.824,0.42,0.387,0.694,3.08e-6,0.111,0.335,104.987,1,-7.7,4
EVERYTIME WE TOUCH,DAVID GUETTA,Pop Life,2007-06-01,220640,32,big room,0.708,0.471,0.356,0.0086,0.00839,0.179,0.0354,125.019,1,-7.667,4
Talking to the Moon,Bruno Mars,Doo-Wops & Hooligans,2010-05-11,217866,81,dance pop,0.498,0.59,0.0784,0.511,0.0,0.107,0.032,145.867,0,-4.721,4
You Found Me,The Fray,The Fray,2009-02-02,241853,73,neo mellow,0.338,0.803,0.4,0.0187,0.0,0.136,0.0413,151.994,0,-5.412,4
BUBALU,FEID & REMA,"MOR, No Le Temas a La Oscuridad",2023-09-29,228186,66,colombian pop,0.786,0.803,0.722,0.135,4.11e-6,0.11,0.072,112.007,0,-5.232,4
HEY BROTHER,AVICII,True,2013-01-01,255093,75,dance pop,0.545,0.78,0.458,0.0309,0.0000464,0.0828,0.0436,125.014,0,-4.867,4
Friday [Dopamine re-edit],Riton,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],2021-01-15,169153,75,house,0.824,0.862,0.801,0.0076,0.000132,0.303,0.126,122.98,1,-3.424,4
Sweetest Pie,Megan Thee Stallion,Traumazine,2022-08-12,201334,64,houston rap,0.814,0.626,0.686,0.173,0.0,0.101,0.214,123.972,1,-7.187,4
Tradição,S. Pedro,Tradição,2024-10-08,163680,22,portuguese indie,0.658,0.413,0.47,0.0646,0.0,0.144,0.0402,77.02,1,-9.569,3
Dores de Crescimento,"Carolina de Deus, António Zambujo",Dores de Crescimento,2023-05-12,216066,36,"",0.552,0.259,0.172,0.859,2.16e-6,0.104,0.0304,136.531,0,-9.942,3
HÁ ALGO EM TI,LUIS TRIGACHEIRO,Ela,2024-10-11,179306,35,fado,0.84,0.371,0.534,0.86,0.00162,0.0971,0.0307,105.033,1,-10.038,3
Thunder,Imagine Dragons,Evolve,2017-06-23,187146,83,modern rock,0.604,0.822,0.288,0.00672,0.134,0.147,0.0438,167.997,1,-4.833,4
CASA,"D.A.M.A., BUBA ESPINHO",CASA,2022-11-25,208484,51,portuguese pop,0.459,0.463,0.351,0.698,0.0,0.649,0.111,148.284,1,-8.05,4
Lunch,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,179586,86,art pop,0.893,0.4,0.945,0.0452,0.0823,0.0632,0.0643,124.987,0,-7.981,4
"Good Luck, Babe!",Chappel Roan,"Good Luck, Babe!",2024-04-05,218423,94,indie pop,0.7,0.582,0.785,0.0502,0.0,0.0881,0.0356,116.712,0,-5.96,4
À Vontade,ProfJam,#FFFFFF,2019-02-22,336528,41,hip hop tuga,0.691,0.437,0.269,0.381,0.0136,0.101,0.0608,75.603,0,-10.448,4
Pump It,Black Eyed Peas,Monkey Business,2005-01-01,213066,67,dance pop,0.649,0.931,0.744,0.0093,0.0,0.751,0.181,153.645,0,-3.15,4
Training Season,Dua Lipa,Radical Optimism,2024-05-03,209487,79,dance pop,0.812,0.587,0.664,0.0349,2.64e-6,0.123,0.0477,123.041,0,-4.483,4
I DONT WANNA WAIT,DAVID GUETTA + ONEREPUBLIC,I Don't Wanna Wait,2024-04-05,149667,85,big room,0.681,0.714,0.554,0.0375,0.0,0.232,0.0309,129.976,0,-4.617,4
Saudade,"Miguel Araújo, Os Quatro e Meia",Saudade,2024-03-08,248880,42,portuguese pop,0.616,0.661,0.401,0.291,0.0173,0.123,0.0332,137.928,1,-8.001,4
Water,Tyla,Water,2023-07-28,200255,84,"",0.673,0.722,0.519,0.0856,0.0,0.137,0.0755,117.187,0,-3.495,4
Quando a Chuva Passar,Ivete Sangalo,As Super Novas,2005-01-01,246280,49,arrocha,0.461,0.455,0.319,0.747,0.0,0.0977,0.0281,149.972,0,-7.518,4
Cuff It,Beyoncé,RENAISSANCE,2022-07-29,225388,74,pop,0.78,0.689,0.642,0.0368,9.69e-6,0.0698,0.141,115.042,1,-5.668,4
Don't Start Now,Dua Lipa,Future Nostalgia,2020-03-27,183290,81,dance pop,0.793,0.793,0.679,0.0123,0.0,0.0951,0.083,123.95,0,-4.521,4
É ISSO AÍ,ANA CAROLINA & SEU JORGE,Ana E Jorge,2005-11-17,318026,56,mpb,0.294,0.321,0.224,0.638,0.0,0.947,0.0293,107.134,1,-8.783,5
Love on the Brain,Rihanna,ANTI (Deluxe),2016-01-28,224000,82,barbadian pop,0.509,0.637,0.379,0.0717,0.0000108,0.0789,0.047,172.007,0,-4.83,3
Heaven,Niall Horan,The Show,2023-06-09,186043,71,pop,0.569,0.758,0.703,0.0739,0.0,0.326,0.025,91.986,1,-3.423,4
ROCKABYE,CLEAN BANDIT feat. SEAN PAUL & ANNE-MARIE,What Is Love? (Deluxe Edition),2018-11-30,251173,74,pop,0.717,0.73,0.792,0.383,0.0,0.398,0.0568,102.002,0,-4.729,4
Broken Strings,"James Morrison, Nelly Furtado","Songs For You, Truths For Me",2008-01-01,250453,47,neo mellow,0.569,0.716,0.307,0.0124,0.0,0.0727,0.0297,111.946,1,-4.871,4
FOR CRYIN OUT LOUD,FINNEAS,For Cryin' Out Loud!,2024-10-04,217240,70,alt z,0.758,0.524,0.731,0.115,0.000248,0.111,0.0336,93.004,1,-6.746,4
CORDAPELE,SLOW J,Afro Fado,2023-11-24,178815,50,hip hop tuga,0.845,0.544,0.574,0.578,0.00154,0.129,0.199,110.002,0,-7.96,4
PLEASE PLEASE PLEASE,SABRINA CARPENTER,Please Please Please,2024-06-06,186365,88,pop,0.669,0.586,0.579,0.274,0.0,0.104,0.054,107.071,1,-6.073,4
MOCA,IVANDRO,Trovador,2024-02-16,180491,52,hip hop tuga,0.486,0.441,0.29,0.639,0.000277,0.102,0.364,176.147,1,-9.068,4
A BAR SONG,SHABOOZEY,A Bar Song (Tipsy),2024-04-12,171291,87,modern country pop,0.722,0.709,0.604,0.0633,0.0,0.0804,0.0273,81.012,1,-4.95,4
CRY FOR HELP,RICK ASTLEY,Free (Deluxe Edition),2024-08-30,259733,51,new romantic,0.568,0.592,0.416,0.547,0.0,0.222,0.0221,89.952,1,-7.912,4
Shallow,"Lady Gaga, Bradley Cooper",A Star Is Born Soundtrack,2018-10-05,215733,82,art pop,0.577,0.385,0.331,0.371,0.0,0.231,0.03,95.82,1,-6.362,4
Sua Cara,Major Lazer,Major Lazer Essentials,2018-10-19,167310,43,dance pop,0.789,0.767,0.637,0.00812,0.000348,0.101,0.0715,99.955,0,-4.612,4
Romance de Cinema,Domingues,Romance de Cinema,2020-11-20,235862,49,hip hop tuga,0.509,0.528,0.52,0.695,0.0,0.125,0.438,173.999,0,-5.18,3
Sushi,Nenny,Aura,2020-03-02,159737,33,hip hop tuga,0.889,0.588,0.778,0.428,0.0,0.066,0.291,120.065,0,-6.883,4
GAROTA,"MANINHO, MARISA LIZ",Garota (feat. Marisa Liz),2024-06-07,216569,54,portuguese pop,0.549,0.729,0.696,0.0791,0.0,0.0967,0.0483,137.023,0,-5.402,4
Who,Jimin,MUSE,2024-07-19,170887,92,k-pop,0.66,0.756,0.838,0.00289,0.0,0.193,0.032,116.034,0,-3.743,4
Amor de Ferro,"Pedro Abrunhosa, Diogo Piçarra",Amor de Ferro,2024-02-22,214190,45,portuguese pop,0.62,0.554,0.154,0.124,0.0000106,0.113,0.0518,124.853,1,-7.138,4
AMERICAN BOY,ESTELLE [+] KANYE WEST,Shine,2008-03-28,284733,77,neo soul,0.693,0.729,0.521,0.171,0.0,0.07,0.378,117.848,1,-2.99,4
HUMAN,RAG N BONE MAN,Human (Deluxe),2017-02-10,200186,79,neo soul,0.602,0.707,0.554,0.393,0.0,0.165,0.302,75.087,1,-4.097,4
WHAT LOVERS DO,"MAROON 5, SZA",Red Pill Blues (Deluxe),2018-06-15,199849,65,pop,0.8,0.598,0.422,0.0798,5.47e-6,0.1,0.0617,109.998,0,-5.131,4
Mirrors,Justin Timberlake,The 20/20 Experience (Deluxe Version),2013-03-15,484146,78,dance pop,0.574,0.512,0.512,0.234,0.0,0.0946,0.0503,76.899,0,-6.664,4
IMAGINE,JOHN LENNON,Imagine,1971-09-09,187866,75,classic rock,0.547,0.257,0.169,0.907,0.183,0.0935,0.0252,75.752,1,-12.358,4
Just The Way You Are,Diana Krall,Live In Paris,2002-01-01,300520,54,contemporary vocal jazz,0.54,0.348,0.456,0.804,0.00199,0.11,0.0339,135.73,1,-10.641,4
ROLLING IN THE DEEP,ADELE,21,2011-01-24,228093,77,british soul,0.73,0.769,0.507,0.138,0.0,0.0473,0.0298,104.948,1,-5.114,4
BELONG TOGETHER,MARK AMBOR,Rockwood,2024-08-16,148317,81,singer-songwriter pop,0.646,0.668,0.64,0.491,0.0,0.212,0.0282,90.97,1,-5.203,4
On Top of the World,Imagine Dragons,Night Visions (Deluxe),2012-09-04,189840,67,modern rock,0.635,0.926,0.771,0.0892,4.4e-6,0.0928,0.15,100.043,1,-5.589,4
WHEN I WAS YOUR MAN,BRUNO MARS,Unorthodox Jukebox,2012-12-07,213826,87,dance pop,0.612,0.28,0.387,0.932,0.0,0.088,0.0434,72.795,1,-8.648,4
(IT GOES LIKE) NANANA,PEGGY GOU,(It Goes Like) Nanana [Edit],2023-06-15,231545,76,electra,0.671,0.876,0.964,0.12,0.188,0.0823,0.0352,129.998,0,-5.681,4
VOLTAS,FERNANDO DANIEL,Voltas,2018-10-12,228539,46,portuguese pop,0.529,0.504,0.224,0.557,0.0,0.119,0.0347,179.842,1,-5.294,4
Lua,Pedro Abrunhosa,Viagens,1994-01-01,380066,34,portuguese pop,0.753,0.518,0.482,0.13,0.0203,0.111,0.0298,127.897,1,-11.179,4
feelslikeimfallinginlove,Coldplay,feelslikeimfallinginlove,2024-06-21,237803,78,permanent wave,0.629,0.515,0.339,0.0448,0.00751,0.117,0.0272,121.154,1,-7.503,4
RUNAWAY,ONEREPUBLIC,Artificial Paradise (Deluxe),2024-07-12,145031,61,piano rock,0.631,0.686,0.77,0.0294,0.0,0.0777,0.0535,163.068,1,-5.419,4
Counting Stars,OneRepublic,Native,2013-01-01,257265,84,piano rock,0.663,0.706,0.474,0.0654,0.0,0.118,0.0383,122.013,0,-4.972,4
DONT DREAM ITS OVER,CROWDED HOUSE,Crowded House,1986-01-01,236933,80,australian rock,0.439,0.421,0.551,0.0148,0.0000488,0.0697,0.0411,81.833,1,-17.227,4
Bad Dreams,Teddy Swims,Bad Dreams,2024-09-13,184577,83,"",0.707,0.68,0.62,0.274,0.0,0.0932,0.0884,125.058,1,-6.203,4
AMAR PELA METADE,CALEMA,Amar Pela Metade / Aimer À Moitié,2024-09-20,186922,55,musica santomense,0.721,0.566,0.68,0.289,0.0,0.415,0.168,94.95,0,-8.61,4
Só Fé,Grelo,É o Grelo,2024-07-19,203337,78,"",0.872,0.696,0.62,0.511,0.000386,0.195,0.0357,138.004,0,-8.565,4
The City is a Jungle,Fumaxa,The City is a Jungle,2020-11-13,265384,37,hip hop tuga,0.87,0.677,0.487,0.291,0.000182,0.117,0.218,103.972,0,-7.878,4
LOVE ME LIKE YOU DO,ELLIE GOULDING,Fifty Shades Freed (Original Motion Picture Soundtrack),2018-02-09,253520,73,indietronica,0.489,0.597,0.323,0.27,0.0,0.105,0.0292,95.013,0,-6.633,4
Birds Of A Feather,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,210373,97,art pop,0.747,0.507,0.438,0.2,0.0608,0.117,0.0358,104.978,1,-10.171,4
FE!N,Travis Scott,UTOPIA,2023-07-28,191700,89,rap,0.569,0.882,0.201,0.0316,0.0,0.142,0.06,148.038,0,-2.777,4
Wildflower,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,261466,91,art pop,0.467,0.247,0.126,0.612,0.000271,0.17,0.0431,148.101,0,-12.002,4
First Class,Jack Harlow,Come Home The Kids Miss You,2022-05-06,173947,72,deep underground hip hop,0.902,0.582,0.332,0.111,3.18e-6,0.111,0.109,107.005,0,-5.902,4
SUSHI,NENNY,Aura,2020-03-02,159737,33,hip hop tuga,0.889,0.588,0.778,0.428,0.0,0.066,0.291,120.065,0,-6.883,4
ROYALS,LORDE,Pure Heroine,2013-09-27,190185,75,art pop,0.674,0.426,0.337,0.12,0.0,0.132,0.122,84.876,1,-9.504,4
Avião de Papel,"Carolina Deslandes, Rui Veloso",Casa,2018-04-20,226730,37,portuguese pop,0.834,0.45,0.67,0.816,0.0,0.102,0.0319,114.097,0,-7.269,4
SOMEONE YOU LOVED,LEWIS CAPALDI,Divinely Uninspired To A Hellish Extent,2019-05-17,182160,85,pop,0.501,0.405,0.446,0.751,0.0,0.105,0.0319,109.891,1,-5.679,4
THERES NOTHING HOLDIN ME BACK,SHAWN MENDES,Illuminate (Deluxe),2017-04-20,199440,84,canadian pop,0.866,0.811,0.969,0.375,0.0,0.078,0.0553,121.995,0,-4.063,4
Carro,Bárbara Bandeira,Finda,2023-10-06,202624,56,portuguese pop,0.733,0.53,0.47,0.66,0.0,0.142,0.0338,114.972,0,-7.113,4
Stuck with U,Ariana Grande,Stuck with U,2020-05-08,228482,77,pop,0.597,0.45,0.537,0.223,0.0,0.382,0.0418,178.765,1,-6.658,3
DO MEU AO TEU CORREIO,NENA,ao fundo da rua,2022-11-18,205972,39,portuguese pop,0.619,0.24,0.288,0.765,0.0,0.109,0.0317,129.683,1,-10.933,4
Creepin',"Metro Boomin, The Weeknd, 21 Savage",HEROES & VILLAINS,2022-12-02,221520,81,rap,0.716,0.613,0.157,0.391,0.0,0.0813,0.0522,97.914,0,-6.018,4
Cidade,"Bárbara Tinoco, Bárbara Bandeira",Desalinhados,2021-04-29,165840,46,portuguese pop,0.628,0.482,0.633,0.867,0.0,0.124,0.0315,77.992,1,-8.423,4
SEM TI,SLOW J,Afro Fado,2023-11-24,155614,52,hip hop tuga,0.786,0.418,0.367,0.386,0.0,0.1,0.221,139.939,0,-10.33,4
Sabes Bem,Os Quatro e Meia,O Tempo Vai Esperar,2020-09-25,211986,39,portuguese folk,0.486,0.332,0.331,0.83,0.0,0.0863,0.0314,99.291,0,-9.529,4
RGTN,PROFJAM,RGTN,2023-11-10,211160,28,hip hop tuga,0.787,0.62,0.522,0.0619,0.00515,0.107,0.33,166.053,0,-6.59,4
Unbelievable,Craig David,The Story Goes...,2005-09-06,202186,48,british soul,0.602,0.522,0.29,0.632,0.0,0.139,0.0442,125.813,1,-6.961,4
SKYFALL,ADELE,Skyfall,2012-10-04,286480,84,british soul,0.346,0.552,0.0789,0.417,0.0,0.114,0.0282,75.881,0,-6.864,4
Mask Off,Future,FUTURE,2017-06-30,204600,80,atl hip hop,0.833,0.434,0.281,0.0102,0.0219,0.165,0.431,150.062,1,-8.795,4
AUSTIN,DASHA,What Happens Now?,2024-02-16,171782,87,"",0.756,0.672,0.739,0.464,3.37e-6,0.108,0.0522,114.935,1,-6.743,4
NOSSO QUADRO,ANA CASTELA & AGROPLAY,Agroplay Verão,2023-08-18,173698,65,agronejo,0.694,0.709,0.606,0.334,0.0,0.329,0.196,160.042,1,-4.821,4
ROCK YOUR BODY,JUSTIN TIMBERLAKE,Justified,2002-11-04,267266,78,dance pop,0.892,0.714,0.817,0.201,0.000234,0.0521,0.141,100.972,0,-6.055,4
BRUISES,LEWIS CAPALDI,Divinely Uninspired To A Hellish Extent,2019-05-17,220492,77,pop,0.736,0.308,0.361,0.946,0.0,0.186,0.0677,111.202,1,-7.83,4
NASTY,TINASHE,Nasty,2024-04-12,176027,74,alternative r&b,0.931,0.411,0.515,0.165,5.26e-6,0.134,0.0711,100.002,1,-8.433,4
O TEU CHEIRO,BISPO,O Teu Cheiro,2024-10-11,170290,58,hip hop tuga,0.55,0.293,0.2,0.873,0.00126,0.108,0.0624,150.021,0,-14.04,4
Footprints In The Sand,Leona Lewis,Spirit,2007-01-01,247440,46,british soul,0.502,0.448,0.123,0.692,0.0,0.114,0.0281,119.921,1,-5.166,4
greedy,Tate McRae,greedy,2023-09-15,131872,85,pop,0.749,0.729,0.816,0.261,0.0,0.113,0.0321,111.004,0,-3.19,1
Lullaby,Shawn Mullins,Soul's Core,1998-04-24,329866,40,pop rock,0.626,0.731,0.545,0.0211,0.00231,0.249,0.0455,79.971,1,-8.0,4
Faz um Vuk Vuk (Teto Espelhado),Kevin o Chris,Faz um Vuk Vuk (Teto Espelhado),2023-07-20,138461,69,funk 150 bpm,0.92,0.413,0.679,0.504,0.0514,0.133,0.0752,130.078,0,-7.901,4
JUST GIVE ME A REASON,PINK [+] NATE RUESS,The Truth About Love,2012-09-18,242733,83,dance pop,0.778,0.547,0.442,0.344,0.000306,0.132,0.0489,95.0,1,-7.273,4
A Vida Toda,Carolina Deslandes,Casa,2018-04-20,246178,42,portuguese pop,0.786,0.294,0.536,0.787,0.0000523,0.104,0.044,128.04,0,-10.006,4
LOVE AGAIN,RICHIE CAMPBELL,Heartbreak & Other Stories,2023-03-17,208068,48,hip hop tuga,0.792,0.649,0.392,0.358,0.0000154,0.114,0.12,96.962,1,-8.795,4
Con Altura,Rosalía,Con Altura,2019-03-28,161626,69,pop,0.882,0.689,0.746,0.39,0.00325,0.0501,0.124,97.963,1,-4.027,4
Billionaire,"Travie McCoy, Bruno Mars",Lazarus,2010-06-07,211160,72,pop rap,0.633,0.673,0.659,0.297,0.0,0.206,0.258,86.776,0,-6.403,4
IMAGINA ESSE CENARIO,MATUE & VEIGH,333,2024-09-09,155368,76,r&b brasileiro,0.583,0.665,0.463,0.314,0.0,0.112,0.18,94.329,1,-3.885,4
Acordar,Plutónio,Acordar,2024-05-24,197862,56,hip hop tuga,0.793,0.747,0.533,0.285,0.000218,0.0873,0.0931,100.011,0,-6.632,4
One Of The Girls,The Weeknd,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,244684,89,canadian contemporary r&b,0.264,0.64,0.19,0.0393,2.31e-6,0.151,0.0442,84.828,1,-6.221,4
