radio,day,time_played,track_title,artist_name
Rádio Comercial,2024-10-27,11:58:00.000000000,Para Sempre [unplugged],"Dengaz, Seu Jorge"
Rádio Comercial,2024-10-27,11:54:00.000000000,Glimpse of Us,Joji
Rádio Comercial,2024-10-27,11:44:00.000000000,Bad Romance,Lady Gaga
Rádio Comercial,2024-10-27,11:41:00.000000000,Noite,"Ivandro, Vitor Kley"
Rádio Comercial,2024-10-27,11:31:00.000000000,Don't Worry,"Madcon, Ray Dalton"
Rádio Comercial,2024-10-27,11:28:00.000000000,Lose Control,Teddy Swims
Rádio Comercial,2024-10-27,11:23:00.000000000,She Will Be Loved,Maroon 5
Rádio Comercial,2024-10-27,11:19:00.000000000,All My Love,Coldplay
Rádio Comercial,2024-10-27,11:17:00.000000000,The Nights,Avicii
Rádio Comercial,2024-10-27,11:14:00.000000000,Chamada não atendida,Bárbara Tinoco
Rádio Comercial,2024-10-27,11:11:00.000000000,Si Antes Te Hubiera Conocido,Karol G
Rádio Comercial,2024-10-27,11:06:00.000000000,Perfect,Ed Sheeran
Rádio Comercial,2024-10-27,11:03:00.000000000,Dancing In the Flames,The Weeknd
Rádio Comercial,2024-10-27,10:56:00.000000000,Diet Pepsi,Addison Rae
Rádio Comercial,2024-10-27,10:53:00.000000000,APT.,"Rosé, Bruno Mars"
Rádio Comercial,2024-10-27,10:48:00.000000000,Starlight,Sofia Camara
Rádio Comercial,2024-10-27,10:41:00.000000000,Wait For You,Myles Smith
Rádio Comercial,2024-10-27,10:38:00.000000000,That's So True,Gracie Abrams
Rádio Comercial,2024-10-27,10:34:00.000000000,Take Me To The Beach,"Imagine Dragons, Baker Boy"
Rádio Comercial,2024-10-27,10:28:00.000000000,Freedom Of The Night,Sophie Ellis-Bextor
Rádio Comercial,2024-10-27,10:26:00.000000000,Healing (Shattered Heart),"Kygo, Jonas Brothers"
Rádio Comercial,2024-10-27,10:23:00.000000000,O Teu Cheiro,Bispo
Rádio Comercial,2024-10-27,10:20:00.000000000,Bad Dreams,Teddy Swims
Rádio Comercial,2024-10-27,10:17:00.000000000,Tu Não Mentes,Soraia Tavares
Rádio Comercial,2024-10-27,10:13:00.000000000,Burning Down,Alex Warren
Rádio Comercial,2024-10-27,10:10:00.000000000,Diz-se Aí (2 Pares de Botas),"Nena [pt], Joana Almeirante"
Rádio Comercial,2024-10-27,10:05:00.000000000,In Your Hands,Craig David
Rádio Comercial,2024-10-27,10:02:00.000000000,Put A Little Hurt On Me,Rag'n'Bone Man
Rádio Comercial,2024-10-27,09:54:00.000000000,Do You No Wrong,Richie Campbell
Rádio Comercial,2024-10-27,09:51:00.000000000,The Door,Teddy Swims
Rádio Comercial,2024-10-27,09:45:00.000000000,Toxic,Britney Spears
Rádio Comercial,2024-10-27,09:40:00.000000000,Na Escola,Os Quatro e Meia
